num_iq_03m|consultas,num,iq_03m
pct_num_iq_06m_bk_r|consultas,pct_num,iq_06m,bk_r
pct_num_iq_06m_nbk|consultas,pct_num,iq_06m,nbk
pct_num_iq_06m_nbk_au|consultas,pct_num,iq_06m,nbk_au
pct_num_iq_06m_nbk_m|consultas,pct_num,iq_06m,nbk_m
pct_num_iq_06m_nbk_pl|consultas,pct_num,iq_06m,nbk_pl
pct_num_iq_06m_nbk_r|consultas,pct_num,iq_06m,nbk_r
pct_num_iq_06m_amx|consultas,pct_num,iq_06m,amx
pct_num_iq_06m_au|consultas,pct_num,iq_06m,au
pct_num_iq_06m_m|consultas,pct_num,iq_06m,m
pct_num_iq_06m_pl|consultas,pct_num,iq_06m,pl
pct_num_iq_06m_r|consultas,pct_num,iq_06m,r
pct_num_iq_06m_fl|consultas,pct_num,iq_06m,fl
pct_num_iq_12m_bk|consultas,pct_num,iq_12m,bk
pct_num_iq_12m_bk_au|consultas,pct_num,iq_12m,bk_au
pct_num_iq_12m_bk_m|consultas,pct_num,iq_12m,bk_m
pct_num_iq_12m_bk_pl|consultas,pct_num,iq_12m,bk_pl
pct_num_iq_12m_bk_r|consultas,pct_num,iq_12m,bk_r
pct_num_iq_12m_nbk|consultas,pct_num,iq_12m,nbk
pct_num_iq_12m_nbk_au|consultas,pct_num,iq_12m,nbk_au
pct_num_iq_12m_nbk_m|consultas,pct_num,iq_12m,nbk_m
pct_num_iq_12m_nbk_pl|consultas,pct_num,iq_12m,nbk_pl
pct_num_iq_12m_nbk_r|consultas,pct_num,iq_12m,nbk_r
pct_num_iq_12m_amx|consultas,pct_num,iq_12m,amx
pct_num_iq_12m_au|consultas,pct_num,iq_12m,au
pct_num_iq_12m_m|consultas,pct_num,iq_12m,m
pct_num_iq_12m_pl|consultas,pct_num,iq_12m,pl
pct_num_iq_12m_r|consultas,pct_num,iq_12m,r
pct_num_iq_12m_fl|consultas,pct_num,iq_12m,fl
pct_num_iq_18m_bk|consultas,pct_num,iq_18m,bk
pct_num_iq_18m_bk_au|consultas,pct_num,iq_18m,bk_au
pct_num_iq_18m_bk_m|consultas,pct_num,iq_18m,bk_m
pct_num_iq_18m_bk_pl|consultas,pct_num,iq_18m,bk_pl
pct_num_iq_18m_bk_r|consultas,pct_num,iq_18m,bk_r
pct_num_iq_18m_nbk|consultas,pct_num,iq_18m,nbk
pct_num_iq_18m_nbk_au|consultas,pct_num,iq_18m,nbk_au
pct_num_iq_18m_nbk_m|consultas,pct_num,iq_18m,nbk_m
pct_num_iq_18m_nbk_pl|consultas,pct_num,iq_18m,nbk_pl
pct_num_iq_18m_nbk_r|consultas,pct_num,iq_18m,nbk_r
pct_num_iq_18m_amx|consultas,pct_num,iq_18m,amx
pct_num_iq_18m_au|consultas,pct_num,iq_18m,au
pct_num_iq_18m_m|consultas,pct_num,iq_18m,m
pct_num_iq_18m_pl|consultas,pct_num,iq_18m,pl
pct_num_iq_18m_r|consultas,pct_num,iq_18m,r
pct_num_iq_18m_fl|consultas,pct_num,iq_18m,fl
pct_num_iq_24m_bk|consultas,pct_num,iq_24m,bk
pct_num_iq_24m_bk_au|consultas,pct_num,iq_24m,bk_au
pct_num_iq_24m_bk_m|consultas,pct_num,iq_24m,bk_m
pct_num_iq_24m_bk_pl|consultas,pct_num,iq_24m,bk_pl
pct_num_iq_24m_bk_r|consultas,pct_num,iq_24m,bk_r
pct_num_iq_24m_nbk|consultas,pct_num,iq_24m,nbk
pct_num_iq_24m_nbk_au|consultas,pct_num,iq_24m,nbk_au
pct_num_iq_24m_nbk_m|consultas,pct_num,iq_24m,nbk_m
pct_num_iq_24m_nbk_pl|consultas,pct_num,iq_24m,nbk_pl
pct_num_iq_24m_nbk_r|consultas,pct_num,iq_24m,nbk_r
pct_num_iq_24m_amx|consultas,pct_num,iq_24m,amx
pct_num_iq_24m_au|consultas,pct_num,iq_24m,au
pct_num_iq_24m_m|consultas,pct_num,iq_24m,m
pct_num_iq_24m_pl|consultas,pct_num,iq_24m,pl
pct_num_iq_24m_r|consultas,pct_num,iq_24m,r
pct_num_iq_24m_fl|consultas,pct_num,iq_24m,fl
max_pmt_mop_actual|cuentas,max,pmt,mop_actual
max_pmt_by_mop01|cuentas,max,pmt,by_mop01
max_pmt_by_mop02|cuentas,max,pmt,by_mop02
max_pmt_by_mop03|cuentas,max,pmt,by_mop03
max_pmt_by_mop04|cuentas,max,pmt,by_mop04
max_pmt_by_mop05|cuentas,max,pmt,by_mop05
max_pmt_by_mop06|cuentas,max,pmt,by_mop06
max_pmt_by_mop07|cuentas,max,pmt,by_mop07
max_pmt_by_mop09|cuentas,max,pmt,by_mop09
min_pmt_mop_actual|cuentas,min,pmt,mop_actual
min_pmt_by_mop01|cuentas,min,pmt,by_mop01
min_pmt_by_mop02|cuentas,min,pmt,by_mop02
min_pmt_by_mop03|cuentas,min,pmt,by_mop03
min_pmt_by_mop04|cuentas,min,pmt,by_mop04
min_pmt_by_mop05|cuentas,min,pmt,by_mop05
min_pmt_by_mop06|cuentas,min,pmt,by_mop06
min_pmt_by_mop07|cuentas,min,pmt,by_mop07
min_pmt_by_mop09|cuentas,min,pmt,by_mop09
sum_pmt_mop_actual|cuentas,sum,pmt,mop_actual
sum_pmt_by_mop01|cuentas,sum,pmt,by_mop01
sum_pmt_by_mop02|cuentas,sum,pmt,by_mop02
sum_pmt_by_mop03|cuentas,sum,pmt,by_mop03
sum_pmt_by_mop04|cuentas,sum,pmt,by_mop04
sum_pmt_by_mop05|cuentas,sum,pmt,by_mop05
sum_pmt_by_mop06|cuentas,sum,pmt,by_mop06
sum_pmt_by_mop07|cuentas,sum,pmt,by_mop07
sum_pmt_by_mop09|cuentas,sum,pmt,by_mop09
avg_pmt_mop_actual|cuentas,avg,pmt,mop_actual
avg_pmt_by_mop01|cuentas,avg,pmt,by_mop01
avg_pmt_by_mop02|cuentas,avg,pmt,by_mop02
avg_pmt_by_mop03|cuentas,avg,pmt,by_mop03
avg_pmt_by_mop04|cuentas,avg,pmt,by_mop04
avg_pmt_by_mop05|cuentas,avg,pmt,by_mop05
avg_pmt_by_mop06|cuentas,avg,pmt,by_mop06
avg_pmt_by_mop07|cuentas,avg,pmt,by_mop07
avg_pmt_by_mop09|cuentas,avg,pmt,by_mop09
max_dlq_bal_mop_actual|cuentas,max,dlq_bal,mop_actual
max_dlq_bal_by_mop01|cuentas,max,dlq_bal,by_mop01
max_dlq_bal_by_mop02|cuentas,max,dlq_bal,by_mop02
max_dlq_bal_by_mop03|cuentas,max,dlq_bal,by_mop03
max_dlq_bal_by_mop04|cuentas,max,dlq_bal,by_mop04
max_dlq_bal_by_mop05|cuentas,max,dlq_bal,by_mop05
max_dlq_bal_by_mop06|cuentas,max,dlq_bal,by_mop06
max_dlq_bal_by_mop07|cuentas,max,dlq_bal,by_mop07
max_dlq_bal_by_mop09|cuentas,max,dlq_bal,by_mop09
min_dlq_bal_mop_actual|cuentas,min,dlq_bal,mop_actual
min_dlq_bal_by_mop01|cuentas,min,dlq_bal,by_mop01
min_dlq_bal_by_mop02|cuentas,min,dlq_bal,by_mop02
min_dlq_bal_by_mop03|cuentas,min,dlq_bal,by_mop03
min_dlq_bal_by_mop04|cuentas,min,dlq_bal,by_mop04
min_dlq_bal_by_mop05|cuentas,min,dlq_bal,by_mop05
min_dlq_bal_by_mop06|cuentas,min,dlq_bal,by_mop06
min_dlq_bal_by_mop07|cuentas,min,dlq_bal,by_mop07
min_dlq_bal_by_mop09|cuentas,min,dlq_bal,by_mop09
sum_dlq_bal_mop_actual|cuentas,sum,dlq_bal,mop_actual
sum_dlq_bal_by_mop01|cuentas,sum,dlq_bal,by_mop01
sum_dlq_bal_by_mop02|cuentas,sum,dlq_bal,by_mop02
sum_dlq_bal_by_mop03|cuentas,sum,dlq_bal,by_mop03
sum_dlq_bal_by_mop04|cuentas,sum,dlq_bal,by_mop04
sum_dlq_bal_by_mop05|cuentas,sum,dlq_bal,by_mop05
sum_dlq_bal_by_mop06|cuentas,sum,dlq_bal,by_mop06
sum_dlq_bal_by_mop07|cuentas,sum,dlq_bal,by_mop07
sum_dlq_bal_by_mop09|cuentas,sum,dlq_bal,by_mop09
avg_dlq_bal_mop_actual|cuentas,avg,dlq_bal,mop_actual
avg_dlq_bal_by_mop01|cuentas,avg,dlq_bal,by_mop01
avg_dlq_bal_by_mop02|cuentas,avg,dlq_bal,by_mop02
avg_dlq_bal_by_mop03|cuentas,avg,dlq_bal,by_mop03
avg_dlq_bal_by_mop04|cuentas,avg,dlq_bal,by_mop04
avg_dlq_bal_by_mop05|cuentas,avg,dlq_bal,by_mop05
avg_dlq_bal_by_mop06|cuentas,avg,dlq_bal,by_mop06
avg_dlq_bal_by_mop07|cuentas,avg,dlq_bal,by_mop07
avg_dlq_bal_by_mop09|cuentas,avg,dlq_bal,by_mop09
max_cur_bal_mop_actual|cuentas,max,cur_bal,mop_actual
max_cur_bal_by_mop01|cuentas,max,cur_bal,by_mop01
max_cur_bal_by_mop02|cuentas,max,cur_bal,by_mop02
max_cur_bal_by_mop03|cuentas,max,cur_bal,by_mop03
max_cur_bal_by_mop04|cuentas,max,cur_bal,by_mop04
max_cur_bal_by_mop05|cuentas,max,cur_bal,by_mop05
max_cur_bal_by_mop06|cuentas,max,cur_bal,by_mop06
max_cur_bal_by_mop07|cuentas,max,cur_bal,by_mop07
max_cur_bal_by_mop09|cuentas,max,cur_bal,by_mop09
min_cur_bal_mop_actual|cuentas,min,cur_bal,mop_actual
min_cur_bal_by_mop01|cuentas,min,cur_bal,by_mop01
min_cur_bal_by_mop02|cuentas,min,cur_bal,by_mop02
min_cur_bal_by_mop03|cuentas,min,cur_bal,by_mop03
min_cur_bal_by_mop04|cuentas,min,cur_bal,by_mop04
min_cur_bal_by_mop05|cuentas,min,cur_bal,by_mop05
min_cur_bal_by_mop06|cuentas,min,cur_bal,by_mop06
min_cur_bal_by_mop07|cuentas,min,cur_bal,by_mop07
min_cur_bal_by_mop09|cuentas,min,cur_bal,by_mop09
sum_cur_bal_mop_actual|cuentas,sum,cur_bal,mop_actual
sum_cur_bal_by_mop01|cuentas,sum,cur_bal,by_mop01
sum_cur_bal_by_mop02|cuentas,sum,cur_bal,by_mop02
sum_cur_bal_by_mop03|cuentas,sum,cur_bal,by_mop03
sum_cur_bal_by_mop04|cuentas,sum,cur_bal,by_mop04
sum_cur_bal_by_mop05|cuentas,sum,cur_bal,by_mop05
sum_cur_bal_by_mop06|cuentas,sum,cur_bal,by_mop06
sum_cur_bal_by_mop07|cuentas,sum,cur_bal,by_mop07
sum_cur_bal_by_mop09|cuentas,sum,cur_bal,by_mop09
avg_cur_bal_mop_actual|cuentas,avg,cur_bal,mop_actual
avg_cur_bal_by_mop01|cuentas,avg,cur_bal,by_mop01
avg_cur_bal_by_mop02|cuentas,avg,cur_bal,by_mop02
avg_cur_bal_by_mop03|cuentas,avg,cur_bal,by_mop03
avg_cur_bal_by_mop04|cuentas,avg,cur_bal,by_mop04
avg_cur_bal_by_mop05|cuentas,avg,cur_bal,by_mop05
avg_cur_bal_by_mop06|cuentas,avg,cur_bal,by_mop06
avg_cur_bal_by_mop07|cuentas,avg,cur_bal,by_mop07
avg_cur_bal_by_mop09|cuentas,avg,cur_bal,by_mop09
max_sum_vp_cur_bal_vec_bk_au|cuentas,max,ingreso-sum-vp_cur_bal-bk_au
max_sum_vp_cur_bal_vec_bk_m|cuentas,max,ingreso-sum-vp_cur_bal-bk_m
max_sum_vp_cur_bal_vec_bk_pl|cuentas,max,ingreso-sum-vp_cur_bal-bk_pl
max_sum_vp_cur_bal_vec_bk_r|cuentas,max,ingreso-sum-vp_cur_bal-bk_r
max_sum_vp_cur_bal_vec_bk_amx|cuentas,max,ingreso-sum-vp_cur_bal-bk_amx
max_sum_vp_cur_bal_vec_bk|cuentas,max,ingreso-sum-vp_cur_bal-bk
max_sum_vp_cur_bal_vec_nbk_au|cuentas,max,ingreso-sum-vp_cur_bal-nbk_au
max_sum_vp_cur_bal_vec_nbk_m|cuentas,max,ingreso-sum-vp_cur_bal-nbk_m
max_sum_vp_cur_bal_vec_nbk_pl|cuentas,max,ingreso-sum-vp_cur_bal-nbk_pl
max_sum_vp_cur_bal_vec_nbk_r|cuentas,max,ingreso-sum-vp_cur_bal-nbk_r
max_sum_vp_cur_bal_vec_nbk_amx|cuentas,max,ingreso-sum-vp_cur_bal-nbk_amx
max_sum_vp_cur_bal_vec_nbk|cuentas,max,ingreso-sum-vp_cur_bal-nbk
max_sum_vp_cur_bal_vec|cuentas,max,ingreso-sum-vp_cur_bal
min_sum_vp_cur_bal_vec_bk_au|cuentas,min,ingreso-sum-vp_cur_bal-bk_au
min_sum_vp_cur_bal_vec_bk_m|cuentas,min,ingreso-sum-vp_cur_bal-bk_m
min_sum_vp_cur_bal_vec_bk_pl|cuentas,min,ingreso-sum-vp_cur_bal-bk_pl
min_sum_vp_cur_bal_vec_bk_r|cuentas,min,ingreso-sum-vp_cur_bal-bk_r
min_sum_vp_cur_bal_vec_bk_amx|cuentas,min,ingreso-sum-vp_cur_bal-bk_amx
min_sum_vp_cur_bal_vec_bk|cuentas,min,ingreso-sum-vp_cur_bal-bk
min_sum_vp_cur_bal_vec_nbk_au|cuentas,min,ingreso-sum-vp_cur_bal-nbk_au
min_sum_vp_cur_bal_vec_nbk_m|cuentas,min,ingreso-sum-vp_cur_bal-nbk_m
min_sum_vp_cur_bal_vec_nbk_pl|cuentas,min,ingreso-sum-vp_cur_bal-nbk_pl
min_sum_vp_cur_bal_vec_nbk_r|cuentas,min,ingreso-sum-vp_cur_bal-nbk_r
min_sum_vp_cur_bal_vec_nbk_amx|cuentas,min,ingreso-sum-vp_cur_bal-nbk_amx
min_sum_vp_cur_bal_vec_nbk|cuentas,min,ingreso-sum-vp_cur_bal-nbk
min_sum_vp_cur_bal_vec|cuentas,min,ingreso-sum-vp_cur_bal
dif_sum_vp_cur_bal_vec_bk_au|cuentas,dif,ingreso-sum-vp_cur_bal-bk_au
dif_sum_vp_cur_bal_vec_bk_m|cuentas,dif,ingreso-sum-vp_cur_bal-bk_m
dif_sum_vp_cur_bal_vec_bk_pl|cuentas,dif,ingreso-sum-vp_cur_bal-bk_pl
dif_sum_vp_cur_bal_vec_bk_r|cuentas,dif,ingreso-sum-vp_cur_bal-bk_r
dif_sum_vp_cur_bal_vec_bk_amx|cuentas,dif,ingreso-sum-vp_cur_bal-bk_amx
dif_sum_vp_cur_bal_vec_bk|cuentas,dif,ingreso-sum-vp_cur_bal-bk
dif_sum_vp_cur_bal_vec_nbk_au|cuentas,dif,ingreso-sum-vp_cur_bal-nbk_au
dif_sum_vp_cur_bal_vec_nbk_m|cuentas,dif,ingreso-sum-vp_cur_bal-nbk_m
dif_sum_vp_cur_bal_vec_nbk_pl|cuentas,dif,ingreso-sum-vp_cur_bal-nbk_pl
dif_sum_vp_cur_bal_vec_nbk_r|cuentas,dif,ingreso-sum-vp_cur_bal-nbk_r
dif_sum_vp_cur_bal_vec_nbk_amx|cuentas,dif,ingreso-sum-vp_cur_bal-nbk_amx
dif_sum_vp_cur_bal_vec_nbk|cuentas,dif,ingreso-sum-vp_cur_bal-nbk
dif_sum_vp_cur_bal_vec|cuentas,dif,ingreso-sum-vp_cur_bal
max_sum_cur_bal_vec_bk_au|cuentas,max,ingreso-sum-cur_bal-bk_au
max_sum_cur_bal_vec_bk_m|cuentas,max,ingreso-sum-cur_bal-bk_m
max_sum_cur_bal_vec_bk_pl|cuentas,max,ingreso-sum-cur_bal-bk_pl
max_sum_cur_bal_vec_bk_r|cuentas,max,ingreso-sum-cur_bal-bk_r
max_sum_cur_bal_vec_bk_amx|cuentas,max,ingreso-sum-cur_bal-bk_amx
max_sum_cur_bal_vec_bk|cuentas,max,ingreso-sum-cur_bal-bk
max_sum_cur_bal_vec_nbk_au|cuentas,max,ingreso-sum-cur_bal-nbk_au
max_sum_cur_bal_vec_nbk_m|cuentas,max,ingreso-sum-cur_bal-nbk_m
max_sum_cur_bal_vec_nbk_pl|cuentas,max,ingreso-sum-cur_bal-nbk_pl
max_sum_cur_bal_vec_nbk_r|cuentas,max,ingreso-sum-cur_bal-nbk_r
max_sum_cur_bal_vec_nbk_amx|cuentas,max,ingreso-sum-cur_bal-nbk_amx
max_sum_cur_bal_vec_nbk|cuentas,max,ingreso-sum-cur_bal-nbk
max_sum_cur_bal_vec|cuentas,max,ingreso-sum-cur_bal
min_sum_cur_bal_vec_bk_au|cuentas,min,ingreso-sum-cur_bal-bk_au
min_sum_cur_bal_vec_bk_m|cuentas,min,ingreso-sum-cur_bal-bk_m
min_sum_cur_bal_vec_bk_pl|cuentas,min,ingreso-sum-cur_bal-bk_pl
min_sum_cur_bal_vec_bk_r|cuentas,min,ingreso-sum-cur_bal-bk_r
min_sum_cur_bal_vec_bk_amx|cuentas,min,ingreso-sum-cur_bal-bk_amx
min_sum_cur_bal_vec_bk|cuentas,min,ingreso-sum-cur_bal-bk
min_sum_cur_bal_vec_nbk_au|cuentas,min,ingreso-sum-cur_bal-nbk_au
min_sum_cur_bal_vec_nbk_m|cuentas,min,ingreso-sum-cur_bal-nbk_m
min_sum_cur_bal_vec_nbk_pl|cuentas,min,ingreso-sum-cur_bal-nbk_pl
min_sum_cur_bal_vec_nbk_r|cuentas,min,ingreso-sum-cur_bal-nbk_r
min_sum_cur_bal_vec_nbk_amx|cuentas,min,ingreso-sum-cur_bal-nbk_amx
min_sum_cur_bal_vec_nbk|cuentas,min,ingreso-sum-cur_bal-nbk
min_sum_cur_bal_vec|cuentas,min,ingreso-sum-cur_bal
dif_sum_cur_bal_vec_bk_au|cuentas,dif,ingreso-sum-cur_bal-bk_au
dif_sum_cur_bal_vec_bk_m|cuentas,dif,ingreso-sum-cur_bal-bk_m
dif_sum_cur_bal_vec_bk_pl|cuentas,dif,ingreso-sum-cur_bal-bk_pl
dif_sum_cur_bal_vec_bk_r|cuentas,dif,ingreso-sum-cur_bal-bk_r
dif_sum_cur_bal_vec_bk_amx|cuentas,dif,ingreso-sum-cur_bal-bk_amx
dif_sum_cur_bal_vec_bk|cuentas,dif,ingreso-sum-cur_bal-bk
dif_sum_cur_bal_vec_nbk_au|cuentas,dif,ingreso-sum-cur_bal-nbk_au
dif_sum_cur_bal_vec_nbk_m|cuentas,dif,ingreso-sum-cur_bal-nbk_m
dif_sum_cur_bal_vec_nbk_pl|cuentas,dif,ingreso-sum-cur_bal-nbk_pl
dif_sum_cur_bal_vec_nbk_r|cuentas,dif,ingreso-sum-cur_bal-nbk_r
dif_sum_cur_bal_vec_nbk_amx|cuentas,dif,ingreso-sum-cur_bal-nbk_amx
dif_sum_cur_bal_vec_nbk|cuentas,dif,ingreso-sum-cur_bal-nbk
dif_sum_cur_bal_vec|cuentas,dif,ingreso-sum-cur_bal
max_sum_cred_bal_vec_bk_au|cuentas,max,ingreso-sum-cred_bal-bk_au
max_sum_cred_bal_vec_bk_m|cuentas,max,ingreso-sum-cred_bal-bk_m
max_sum_cred_bal_vec_bk_pl|cuentas,max,ingreso-sum-cred_bal-bk_pl
max_sum_cred_bal_vec_bk_r|cuentas,max,ingreso-sum-cred_bal-bk_r
max_sum_cred_bal_vec_bk_amx|cuentas,max,ingreso-sum-cred_bal-bk_amx
max_sum_cred_bal_vec_bk|cuentas,max,ingreso-sum-cred_bal-bk
max_sum_cred_bal_vec_nbk_au|cuentas,max,ingreso-sum-cred_bal-nbk_au
max_sum_cred_bal_vec_nbk_m|cuentas,max,ingreso-sum-cred_bal-nbk_m
max_sum_cred_bal_vec_nbk_pl|cuentas,max,ingreso-sum-cred_bal-nbk_pl
max_sum_cred_bal_vec_nbk_r|cuentas,max,ingreso-sum-cred_bal-nbk_r
max_sum_cred_bal_vec_nbk_amx|cuentas,max,ingreso-sum-cred_bal-nbk_amx
max_sum_cred_bal_vec_nbk|cuentas,max,ingreso-sum-cred_bal-nbk
max_sum_cred_bal_vec|cuentas,max,ingreso-sum-cred_bal
min_sum_cred_bal_vec_bk_au|cuentas,min,ingreso-sum-cred_bal-bk_au
min_sum_cred_bal_vec_bk_m|cuentas,min,ingreso-sum-cred_bal-bk_m
min_sum_cred_bal_vec_bk_pl|cuentas,min,ingreso-sum-cred_bal-bk_pl
min_sum_cred_bal_vec_bk_r|cuentas,min,ingreso-sum-cred_bal-bk_r
min_sum_cred_bal_vec_bk_amx|cuentas,min,ingreso-sum-cred_bal-bk_amx
min_sum_cred_bal_vec_bk|cuentas,min,ingreso-sum-cred_bal-bk
min_sum_cred_bal_vec_nbk_au|cuentas,min,ingreso-sum-cred_bal-nbk_au
min_sum_cred_bal_vec_nbk_m|cuentas,min,ingreso-sum-cred_bal-nbk_m
min_sum_cred_bal_vec_nbk_pl|cuentas,min,ingreso-sum-cred_bal-nbk_pl
min_sum_cred_bal_vec_nbk_r|cuentas,min,ingreso-sum-cred_bal-nbk_r
min_sum_cred_bal_vec_nbk_amx|cuentas,min,ingreso-sum-cred_bal-nbk_amx
min_sum_cred_bal_vec_nbk|cuentas,min,ingreso-sum-cred_bal-nbk
min_sum_cred_bal_vec|cuentas,min,ingreso-sum-cred_bal
dif_sum_cred_bal_vec_bk_au|cuentas,dif,ingreso-sum-cred_bal-bk_au
dif_sum_cred_bal_vec_bk_m|cuentas,dif,ingreso-sum-cred_bal-bk_m
dif_sum_cred_bal_vec_bk_pl|cuentas,dif,ingreso-sum-cred_bal-bk_pl
dif_sum_cred_bal_vec_bk_r|cuentas,dif,ingreso-sum-cred_bal-bk_r
dif_sum_cred_bal_vec_bk_amx|cuentas,dif,ingreso-sum-cred_bal-bk_amx
